Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
MH777251.2	Human papillomavirus	GenBank	set:MH777251		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_109	Human papillomavirus		Papillomaviridae	dsDNA	7146	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_109, complete genome	HPV_new	DOCK8	2014-03-15	MH777251_2|DOCK8|HPV_new|HPV-mSK_109|2014-03-15
MH777252.2	Human papillomavirus	GenBank	set:MH777252		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_110	Human papillomavirus		Papillomaviridae	dsDNA	7272	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_110, complete genome	HPV_new	DOCK8	2015-01-15	MH777252_2|DOCK8|HPV_new|HPV-mSK_110|2015-01-15
MH777253.2	Human papillomavirus	GenBank	set:MH777253		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_111	Human papillomavirus		Papillomaviridae	dsDNA	7379	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_111, complete genome	HPV_new	DOCK8	2015-01-15	MH777253_2|DOCK8|HPV_new|HPV-mSK_111|2015-01-15
MH777254.2	Human papillomavirus	GenBank	set:MH777254		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_112	Human papillomavirus		Papillomaviridae	dsDNA	7292	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_112, partial genome	HPV_new	DOCK8	2015-01-15	MH777254_2|DOCK8|HPV_new|HPV-mSK_112|2015-01-15
MH777255.2	Human papillomavirus	GenBank	set:MH777255		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_113	Human papillomavirus		Papillomaviridae	dsDNA	7254	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_113, complete genome	HPV_new	DOCK8	2015-01-15	MH777255_2|DOCK8|HPV_new|HPV-mSK_113|2015-01-15
MH777256.2	Human papillomavirus	GenBank	set:MH777256		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_114	Human papillomavirus		Papillomaviridae	dsDNA	7142	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_114, complete genome	HPV_new	DOCK8	2015-01-15	MH777256_2|DOCK8|HPV_new|HPV-mSK_114|2015-01-15
MH777257.2	Human papillomavirus	GenBank	set:MH777257		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_115	Human papillomavirus		Papillomaviridae	dsDNA	7290	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_115, complete genome	HPV_new	DOCK8	2015-01-15	MH777257_2|DOCK8|HPV_new|HPV-mSK_115|2015-01-15
MH777258.2	Human papillomavirus	GenBank	set:MH777258		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_116	Human papillomavirus		Papillomaviridae	dsDNA	7128	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_116, complete genome	HPV_new	DOCK8	2015-01-15	MH777258_2|DOCK8|HPV_new|HPV-mSK_116|2015-01-15
MH777259.2	Human papillomavirus	GenBank	set:MH777259		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_117	Human papillomavirus		Papillomaviridae	dsDNA	7192	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_117, complete genome	HPV_new	DOCK8	2015-01-15	MH777259_2|DOCK8|HPV_new|HPV-mSK_117|2015-01-15
MH777260.2	Human papillomavirus	GenBank	set:MH777260		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_118	Human papillomavirus		Papillomaviridae	dsDNA	7142	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_118, partial genome	HPV_new	DOCK8	2015-01-15	MH777260_2|DOCK8|HPV_new|HPV-mSK_118|2015-01-15
MH777261.2	Human papillomavirus	GenBank	set:MH777261		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_119	Human papillomavirus		Papillomaviridae	dsDNA	7281	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_119, complete genome	HPV_new	DOCK8	2015-01-15	MH777261_2|DOCK8|HPV_new|HPV-mSK_119|2015-01-15
MH777262.2	Human papillomavirus	GenBank	set:MH777262		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_120	Human papillomavirus		Papillomaviridae	dsDNA	7139	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_120, complete genome	HPV_new	DOCK8	2015-01-15	MH777262_2|DOCK8|HPV_new|HPV-mSK_120|2015-01-15
MH777263.1	Human papillomavirus	GenBank	set:MH777263		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_121	Human papillomavirus		Papillomaviridae	dsDNA	7241	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_121, complete genome	HPV_new	DOCK8	2015-01-15	MH777263_1|DOCK8|HPV_new|HPV-mSK_121|2015-01-15
MH777264.2	Human papillomavirus	GenBank	set:MH777264		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_122	Human papillomavirus		Papillomaviridae	dsDNA	7333	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_122, partial genome	HPV_new	DOCK8	2015-01-15	MH777264_2|DOCK8|HPV_new|HPV-mSK_122|2015-01-15
MH777267.1	Human papillomavirus	GenBank	set:MH777267		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_125	Human papillomavirus		Papillomaviridae	dsDNA	7252	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_125, complete genome	HPV_new	DOCK8	2015-01-15	MH777267_1|DOCK8|HPV_new|HPV-mSK_125|2015-01-15
MH777268.2	Human papillomavirus	GenBank	set:MH777268		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_126	Human papillomavirus		Papillomaviridae	dsDNA	7149	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_126, complete genome	HPV_new	DOCK8	2015-01-15	MH777268_2|DOCK8|HPV_new|HPV-mSK_126|2015-01-15
MH777269.2	Human papillomavirus	GenBank	set:MH777269		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_127	Human papillomavirus		Papillomaviridae	dsDNA	7287	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_127, complete genome	HPV_new	DOCK8	2015-01-15	MH777269_2|DOCK8|HPV_new|HPV-mSK_127|2015-01-15
MH777270.1	Human papillomavirus	GenBank	set:MH777270		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_128	Human papillomavirus		Papillomaviridae	dsDNA	7230	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_128, complete genome	HPV_new	DOCK8	2015-01-15	MH777270_1|DOCK8|HPV_new|HPV-mSK_128|2015-01-15
MH777271.2	Human papillomavirus	GenBank	set:MH777271		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_129	Human papillomavirus		Papillomaviridae	dsDNA	7698	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_129, partial genome	HPV_new	DOCK8	2015-01-15	MH777271_2|DOCK8|HPV_new|HPV-mSK_129|2015-01-15
MH777272.2	Human papillomavirus	GenBank	set:MH777272		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_130	Human papillomavirus		Papillomaviridae	dsDNA	7390	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_130, complete genome	HPV_new	DOCK8	2015-01-15	MH777272_2|DOCK8|HPV_new|HPV-mSK_130|2015-01-15
MH777273.2	Human papillomavirus	GenBank	set:MH777273		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_131	Human papillomavirus		Papillomaviridae	dsDNA	7389	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_131, complete genome	HPV_new	DOCK8	2015-01-15	MH777273_2|DOCK8|HPV_new|HPV-mSK_131|2015-01-15
MH777274.2	Human papillomavirus	GenBank	set:MH777274		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_132	Human papillomavirus		Papillomaviridae	dsDNA	7223	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_132, complete genome	HPV_new	DOCK8	2015-01-15	MH777274_2|DOCK8|HPV_new|HPV-mSK_132|2015-01-15
MH777275.1	Human papillomavirus	GenBank	set:MH777275		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_133	Human papillomavirus		Papillomaviridae	dsDNA	7245	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_133, complete genome	HPV_new	DOCK8	2015-01-15	MH777275_1|DOCK8|HPV_new|HPV-mSK_133|2015-01-15
MH777276.2	Human papillomavirus	GenBank	set:MH777276		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_134	Human papillomavirus		Papillomaviridae	dsDNA	7269	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_134, complete genome	HPV_new	DOCK8	2015-01-15	MH777276_2|DOCK8|HPV_new|HPV-mSK_134|2015-01-15
MH777277.2	Human papillomavirus	GenBank	set:MH777277		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_135	Human papillomavirus		Papillomaviridae	dsDNA	7214	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_135, complete genome	HPV_new	DOCK8	2015-01-15	MH777277_2|DOCK8|HPV_new|HPV-mSK_135|2015-01-15
MH777278.1	Human papillomavirus	GenBank	set:MH777278		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_136	Human papillomavirus		Papillomaviridae	dsDNA	7193	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_136, complete genome	HPV_new	DOCK8	2015-01-15	MH777278_1|DOCK8|HPV_new|HPV-mSK_136|2015-01-15
MH777279.2	Human papillomavirus	GenBank	set:MH777279		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_137	Human papillomavirus		Papillomaviridae	dsDNA	7247	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_137, complete genome	HPV_new	DOCK8	2015-01-15	MH777279_2|DOCK8|HPV_new|HPV-mSK_137|2015-01-15
MH777280.2	Human papillomavirus	GenBank	set:MH777280		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_138	Human papillomavirus		Papillomaviridae	dsDNA	7162	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_138, complete genome	HPV_new	DOCK8	2015-01-15	MH777280_2|DOCK8|HPV_new|HPV-mSK_138|2015-01-15
MH777281.1	Human papillomavirus	GenBank	set:MH777281		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_139	Human papillomavirus		Papillomaviridae	dsDNA	7123	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_139, complete genome	HPV_new	DOCK8	2015-01-15	MH777281_1|DOCK8|HPV_new|HPV-mSK_139|2015-01-15
MH777282.2	Human papillomavirus	GenBank	set:MH777282		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_140	Human papillomavirus		Papillomaviridae	dsDNA	7268	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_140, partial genome	HPV_new	DOCK8	2015-01-15	MH777282_2|DOCK8|HPV_new|HPV-mSK_140|2015-01-15
MH777283.2	Human papillomavirus	GenBank	set:MH777283		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_141	Human papillomavirus		Papillomaviridae	dsDNA	7282	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_141, partial genome	HPV_new	DOCK8	2015-01-15	MH777283_2|DOCK8|HPV_new|HPV-mSK_141|2015-01-15
MH777285.2	Human papillomavirus	GenBank	set:MH777285		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_143	Human papillomavirus		Papillomaviridae	dsDNA	7201	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_143, complete genome	HPV_new	DOCK8	2015-01-15	MH777285_2|DOCK8|HPV_new|HPV-mSK_143|2015-01-15
MH777286.2	Human papillomavirus	GenBank	set:MH777286		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_144	Human papillomavirus		Papillomaviridae	dsDNA	7737	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_144, complete genome	HPV_new	DOCK8	2015-01-15	MH777286_2|DOCK8|HPV_new|HPV-mSK_144|2015-01-15
MH777287.2	Human papillomavirus	GenBank	set:MH777287		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_145	Human papillomavirus		Papillomaviridae	dsDNA	7301	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_145, complete genome	HPV_new	DOCK8	2015-01-15	MH777287_2|DOCK8|HPV_new|HPV-mSK_145|2015-01-15
MH777288.2	Human papillomavirus	GenBank	set:MH777288		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_146	Human papillomavirus		Papillomaviridae	dsDNA	7284	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_146, complete genome	HPV_new	DOCK8	2015-01-15	MH777288_2|DOCK8|HPV_new|HPV-mSK_146|2015-01-15
MH777289.1	Human papillomavirus	GenBank	set:MH777289		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_147	Human papillomavirus		Papillomaviridae	dsDNA	7213	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_147, complete genome	HPV_new	DOCK8	2015-01-15	MH777289_1|DOCK8|HPV_new|HPV-mSK_147|2015-01-15
MH777290.2	Human papillomavirus	GenBank	set:MH777290		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_148	Human papillomavirus		Papillomaviridae	dsDNA	7339	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_148, complete genome	HPV_new	DOCK8	2015-01-15	MH777290_2|DOCK8|HPV_new|HPV-mSK_148|2015-01-15
MH777291.2	Human papillomavirus	GenBank	set:MH777291		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_149	Human papillomavirus		Papillomaviridae	dsDNA	7305	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_149, complete genome	HPV_new	DOCK8	2015-01-15	MH777291_2|DOCK8|HPV_new|HPV-mSK_149|2015-01-15
MH777292.2	Human papillomavirus	GenBank	set:MH777292		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_150	Human papillomavirus		Papillomaviridae	dsDNA	7288	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_150, complete genome	HPV_new	DOCK8	2015-01-15	MH777292_2|DOCK8|HPV_new|HPV-mSK_150|2015-01-15
MH777293.2	Human papillomavirus	GenBank	set:MH777293		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_151	Human papillomavirus		Papillomaviridae	dsDNA	7653	partial	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_151, partial genome	HPV_new	DOCK8	2015-01-15	MH777293_2|DOCK8|HPV_new|HPV-mSK_151|2015-01-15
MH777294.2	Human papillomavirus	GenBank	set:MH777294		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_152	Human papillomavirus		Papillomaviridae	dsDNA	7238	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_152, complete genome	HPV_new	DOCK8	2015-01-15	MH777294_2|DOCK8|HPV_new|HPV-mSK_152|2015-01-15
MH777295.1	Human papillomavirus	GenBank	set:MH777295		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_153	Human papillomavirus		Papillomaviridae	dsDNA	7330	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_153, complete genome	HPV_new	DOCK8	2015-01-15	MH777295_1|DOCK8|HPV_new|HPV-mSK_153|2015-01-15
MH777296.2	Human papillomavirus	GenBank	set:MH777296		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_154	Human papillomavirus		Papillomaviridae	dsDNA	7228	complete	NA	1	USA	USA	Homo sapiens	skin	2015-01		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_154, complete genome	HPV_new	DOCK8	2015-01-15	MH777296_2|DOCK8|HPV_new|HPV-mSK_154|2015-01-15
